NR_ZONA;NR_SECAO;NM_SECAO;ENDERECO;BAIRRO
172;173;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;174;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;32;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;33;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;34;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;35;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;36;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;37;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;71;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;72;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;73;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;74;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;75;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;76;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;77;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;78;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;79;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;80;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;81;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;82;EEEF JOAO RIBEIRO;RUA FLORENCA, 103;CANUDOS
172;160;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;161;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;162;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;163;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
