NM_VOTAVEL,SG_PARTIDO,NR_SECAO,NM_SECAO,ENDERECO,BAIRRO,QT_VOTOS
TÂNIA DA SILVA,MDB,281,COLÉGIO MARISTA PIO XII,"AVENIDA NICOLAU BECKER,182",VILA ROSA,29
TÂNIA DA SILVA,MDB,281,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,16
TÂNIA DA SILVA,MDB,282,ESCOLA EVANGÉLICA OSWALDO CRUZ,"RUA BENTO GONÇALVES, 2391",CENTRO,29
TÂNIA DA SILVA,MDB,282,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,20
TÂNIA DA SILVA,MDB,283,EMEB HARRY ROTH,"AV. MONTEVIDEO, 540",SANTO AFONSO,23
TÂNIA DA SILVA,MDB,284,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,17
TÂNIA DA SILVA,MDB,285,EMEB FRANCISCO XAVIER KUNST,"RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS",CANUDOS,23
TÂNIA DA SILVA,MDB,286,EMEB ANITA GARIBALDI,"RUA MUNDO NOVO, 222",CANUDOS,32
TÂNIA DA SILVA,MDB,287,COLÉGIO ESTADUAL VILA BECKER,"RUA BENTO MANOEL, 2281",OPERARIO,44
TÂNIA DA SILVA,MDB,287,EEEF NO BAIRRO SANTO AFONSO,"AV. BUENOS AIRES, 793",SANTO AFONSO,22
TÂNIA DA SILVA,MDB,288,COLÉGIO ESTADUAL VILA BECKER,"RUA BENTO MANOEL, 2281",OPERARIO,37
TÂNIA DA SILVA,MDB,289,EEEM DOM PEDRO II,"RUA ESPANHA, 712",RINCAO,38
TÂNIA DA SILVA,MDB,289,GINASIO DE ESPORTES-PAROQUIA SAO JOSE-LOMBA GRANDE(EX SALAO PAROQUIAL),"RUA JOAO ALOISIO ALLGAYER, 1311 (CENTRINHO DE LOMBA - ZONA RURAL)",LOMBA GRANDE,30
TÂNIA DA SILVA,MDB,290,COLÉGIO SANTA CATARINA,"RUA GENERAL OSÓRIO, 729",HAMBURGO VELHO,15
TÂNIA DA SILVA,MDB,290,EMEB CASTRO ALVES,"ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055",LOMBA GRANDE,25
